state	mnemonic	description	color	rgb
1	TssA	"Active TSS"	Red	255,0,0
2	TssFlnk	"Flanking TSS"	OrangeRed	255,69,0
3	TssFlnkU	"Flanking TSS upstream"	OrangeRed	255,69,0
4	TssFlnkD	"Flanking TSS downstream"	OrangeRed	255,69,0
5	Tx	"Strong transcription"	Green	0,128,0
6	TxWk	"Weak transcription"	DarkGreen	0,100,0
7	EnhG1	"Genic enhancer1"	GreenYellow	194,225,5
8	EnhG2	"Genic enhancer2"	GreenYellow	194,225,5
9	EnhA1	"Active enhancer 1"	Orange	255,195,77
10	EnhA2	"Active enhancer 2"	Orange	255,195,77
11	EnhWk	"Weak enhancer"	Yellow	255,255,0
12	ZNF/Rpts	"ZNF genes & repeats"	MediumAquamarine	102,205,170
13	Het	Heterochromatin	PaleTurquoise	138,145,208
14	TssBiv	"Bivalent/Poised TSS"	IndianRed	205,92,92
15	EnhBiv	"Bivalent enhancer"	DarkKhaki	189,183,107
16	ReprPC	"Repressed PolyComb"	Silver	128,128,128
17	WkReprPC	"Weak repressed PolyComb"	Gainsboro	192,192,192
18	Quies	Quiescent/Low	White	255,255,255
